countrycode,closing_date,ebitda,r_d_expenses_operating_revenue,research_development_expenses,number_of_employees,Acquired stake (%)_0_10,Acquired stake (%)_10_20,Acquired stake (%)_20_30,Acquired stake (%)_30_40,Acquired stake (%)_40_50,Acquired stake (%)_0_25,Acquired stake (%)_25_50,Acquired stake (%)_0_50,Final stake (%)_0_10,Final stake (%)_10_20,Final stake (%)_20_30,Final stake (%)_30_40,Final stake (%)_40_50,Final stake (%)_0_25,Final stake (%)_25_50,Score-protecting minority investors,Reform,is_reform
AU,2001,15527491.0,0.0,0.0,326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AU,2002,13867222437.0,80.31,81540610.0,88287.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
AU,2003,18916280089.0,89.45,118995568.0,138874.0,6,6,1,0,0,12,0,12,3,8,1,0,0,12,0,,,
AU,2004,30960861597.0,144.53,68776215.0,199817.0,14,4,0,0,1,18,1,19,5,8,1,3,2,14,5,,,
AU,2005,42362642653.0,50.18,117332316.0,460516.0,9,3,0,0,0,10,0,10,0,7,2,1,0,9,1,,,
AU,2006,44368019293.0,135.95,148503538.0,476791.0,11,5,1,1,0,16,1,17,2,11,1,2,1,14,3,56.666666666667,,
AU,2007,70319220864.0,57.980000000000004,255200756.0,323256.0,36,7,0,0,0,29,0,29,8,20,0,1,0,28,1,56.666666666667,,
AU,2008,77774967302.0,160.84,773489371.0,345329.0,3,3,1,0,0,6,0,6,2,3,1,0,0,5,1,56.666666666667,,
AU,2009,85278270266.0,114.61,504518617.0,299113.0,3,4,1,1,0,8,1,9,1,3,1,3,1,5,4,56.666666666667,,
AU,2010,78093788189.0,23.07,370572313.0,248926.0,15,4,0,2,0,17,2,19,8,9,0,2,0,17,2,56.666666666667,,
AU,2011,66695118288.0,67.74,369708077.0,226666.0,13,1,0,0,1,12,1,13,6,5,0,1,1,11,2,56.666666666667,,
AU,2012,52560260431.0,142.29,665831397.0,269713.0,29,2,1,0,0,31,0,31,14,13,3,0,1,28,3,56.666666666667,,
AU,2013,53628927621.0,132.53,547189044.0,432648.0,12,5,0,1,1,17,2,19,5,11,0,1,2,16,3,56.666666666667,,
AU,2014,51459834731.0,49.18,286670677.0,398821.0,10,4,1,0,1,13,2,15,5,6,3,0,1,13,2,64.0,,
AU,2015,49831962396.0,144.35,392933737.0,428279.0,4,3,1,2,0,7,2,9,1,4,2,2,0,7,2,64.0,,
AU,2016,49000831026.0,194.53,196137054.0,403611.0,3,1,0,0,0,4,0,4,2,2,0,0,0,4,0,64.0,,
AU,2017,59134096351.0,142.9,158031023.0,386148.0,1,2,1,0,0,3,1,4,0,2,1,0,1,2,2,64.0,,
AU,2018,67159792611.0,99.5,129710620.0,374885.0,7,7,0,0,0,14,0,14,5,7,2,0,0,13,1,64.0,,
AU,2019,60357897454.0,66.07000000000001,131699450.0,433400.0,1,1,1,0,0,3,0,3,0,2,1,0,0,3,0,64.0,,
AU,2020,27318353423.0,115.86,11373562.0,62661.0,4,1,1,0,0,5,1,6,3,2,1,0,0,5,1,64.0,,
BG,2004,14875000.0,0.0,0.0,1635.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
BG,2005,21890000.0,0.0,0.0,1768.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
BG,2006,19002000.0,0.0,0.0,1834.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2007,20970000.0,0.0,0.0,1843.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2008,26181000.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,63.333333333333,,
BG,2009,33599000.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2010,36795202.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2011,35522499.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2012,34856365.0,0.0,0.0,3945.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2013,42100360.0,0.0,0.0,4122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333333333333,,
BG,2014,39246001.0,0.0,0.0,4188.0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,74.0,,
BG,2015,78919104.0,0.0,0.0,8516.0,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2,74.0,,
BG,2016,38612764.0,0.0,0.0,4543.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,
BG,2017,45190303.0,0.0,0.0,4895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,
BG,2018,39624417.0,0.0,0.0,5073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,
BG,2019,54138911.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,
CA,1996,156361.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1997,2123186.0,2.18,856855.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1998,85430152.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,1999,4609967065.0,2.42,7996208.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2000,5010616947.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2001,4968314160.0,1.72,3868158.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2002,6251219082.0,52.82,159666935.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
CA,2003,8290680763.0,71.13,302960722.0,15000.0,3,1,0,0,0,4,0,4,0,4,0,0,0,4,0,,,
CA,2004,11185939412.0,105.64,394004939.0,18057.0,10,0,0,1,0,10,1,11,6,3,0,2,0,9,2,,,
CA,2005,15546921588.0,80.17999999999999,440428394.0,0.0,3,2,1,0,2,6,2,8,1,3,1,0,3,5,3,,,
CA,2006,17380097688.0,52.629999999999995,308951811.0,24400.0,3,2,0,0,0,5,0,5,1,4,0,0,0,5,0,83.333333333333,,
CA,2007,18056895831.0,51.22,147101613.0,24400.0,8,1,0,0,0,9,0,9,1,7,1,0,0,8,1,83.333333333333,,
CA,2008,19044538094.0,30.400000000000002,182198660.0,28754.0,6,4,0,0,0,10,0,10,1,9,0,0,0,10,0,83.333333333333,,
CA,2009,18297269990.0,76.97,153483437.0,33457.0,4,0,0,1,0,4,1,5,1,3,0,0,1,4,1,83.333333333333,,
CA,2010,37298563280.0,74.46000000000001,369945541.0,32372.0,10,1,1,0,0,11,1,12,5,5,0,1,1,10,2,83.333333333333,,
CA,2011,40375046632.0,170.37,342208252.0,28750.0,6,2,1,1,0,9,1,10,0,6,2,1,1,7,3,83.333333333333,,
